name_botanic,strain,wikidata_id,baumart_bo
Acer buergerianum Miq.,Allgemein,Q941891,acer buergerianum
Acer campestre L. subsp. campestre,Allgemein,Q158785,Acer campestre
Acer campestre L. subsp. campestre,Elsrijk,Q158785,Acer campestre
Acer campestre L. subsp. campestre,Huiber's Elegant,Q158785,Acer campestre
Acer cappadocicum Gleditsch subsp. lobelii (Ten.) de Jong,Allgemein,Q766133,Acer cappadocicum
Acer glabrum Torr. subsp. glabrum,Allgemein,,
Acer heldreichii Orph. ex Boiss. subsp. heldreichii,Allgemein,,
Acer monspessulanum L.,Allgemein,Q161388,Acer monspessulanum
Acer negundo L. subsp. negundo,Allgemein,Q161166,Acer negundo
Acer opalus Mill. subsp. opalus,Allgemein,,
Acer platanoides L.,Allershausen,Q26745,Acer platanoides
Acer platanoides L.,Allgemein,Q26745,Acer platanoides
Acer platanoides L.,Apollo,Q26745,Acer platanoides
Acer platanoides L.,Cleveland,Q26745,Acer platanoides
Acer platanoides L.,Columnare,Q26745,Acer platanoides
Acer platanoides L.,Deborah,Q26745,Acer platanoides
Acer platanoides L.,Emerald Queen,Q26745,Acer platanoides
Acer platanoides L.,Fairview,Q26745,Acer platanoides
Acer platanoides L.,Farlake's Green,Q26745,Acer platanoides
Acer platanoides L.,Globosum,Q26745,Acer platanoides
Acer platanoides L.,Olmsted,Q26745,Acer platanoides
Acer platanoides L.,Royal Red,Q26745,Acer platanoides
Acer platanoides L.,Summershade,Q26745,Acer platanoides
Acer pseudoplatanus L.,Allgemein,Q156944,Acer pseudoplatanus
Acer pseudoplatanus L.,Erectum,Q156944,Acer pseudoplatanus
Acer pseudoplatanus L.,Negenia,Q156944,Acer pseudoplatanus
Acer pseudoplatanus L.,Rotterdam,Q156944,Acer pseudoplatanus
Acer rubrum L.,Allgemein,Q161364,Acer rubrum
Acer rubrum L.,Armstrong,Q161364,Acer rubrum
Acer rubrum L.,Scanlon,Q161364,Acer rubrum
Acer saccharinum L.,Allgemein,Q158301,Acer saccharinum
Acer tataricum L. subsp. tataricum,Allgemein,Q162728,Acer tataricum
Acer velutinum Boiss. var. velutinum,Allgemein,,
Acer x zoeschense Pax,Allgemein,Q4673185,Acer x zoeschense
Aesculus hippocastanum L.,Allgemein,Q26899,Aesculus hippocastanum
Aesculus hippocastanum L.,Baumannii,Q26899,Aesculus hippocastanum
Aesculus x carnea Hayne,Allgemein,Q163779,Aesculus x carnea
Aesculus x carnea Hayne,Briotii,Q163779,Aesculus x carnea
Ailanthus altissima (Mill.) Swingle,Allgemein,Q159570,Ailanthus altissima
Alnus cordata (Loisel.) Desf.,Allgemein,Q1543689,Alnus cordata
Alnus glutinosa (L.) Gaertn.,Allgemein,Q156904,Alnus glutinosa
