baumart_bo,baumart_de,wikidata_id
Quercus robur,Stiel-Eiche,Q165145
Carpinus betulus,Gemeine Hainbuche,Q158776
Acer campestre,Feld-Ahorn,Q158785
Tilia cordata,Winter-Linde,Q158746
Alnus glutinosa,Schwarz-Erle,Q156904
Acer pseudoplatanus,Berg-Ahorn,Q156944
Acer platanoides,Spitz-Ahorn,Q26745
Betula pendula,Sand-Birke,Q156895
Fagus sylvatica,Rotbuche,Q146149
Fraxinus excelsior,Gemeine Esche,Q156907
Pinus sylvestris,Gemeine Kiefer,Q133128
Salix alba,Silber-Weide,Q156918
Tilia platyphyllos,Sommerlinde,Q156831
Tilia x vulgaris,Holländische Linde,Q163760
Platanus x acerifolia,Gewöhnliche Platane,Q24853030
Salix caprea,Sal-Weide,Q159565
Prunus avium,Vogel-Kirsche,Q165137
Robinia pseudoacacia,Gemeine Robinie,Q157417
Corylus colurna,Baum-Hasel,Q148939
Quercus rubra,Amerikanische Roteiche,Q147525
Prunus padus,Trauben-Kirsche,Q165424
Aesculus hippocastanum,Roßkastanie,Q26899
Sorbus intermedia,Schwedische Mehlbeere,Q27980
Malus domestica,Kulturapfel,Q18674606
Acer platanoides 'Globosum',Kugelahorn,Q9577526
Alnus incana,Grau-Erle,Q157641
Tilia x euchlora,Krim-Linde,Q159657
Picea abies,Gemeine Fichte,Q145992
Carpinus betulus 'Fastigiata',Säulenhainbuche,Q115916785
Sorbus aucuparia,Gemeine Eberesche,Q146198
Pinus nigra,Schwarz-Kiefer,Q145954
Acer saccharinum,Silber-Ahorn,Q158301
Populus x hybrida,Hybrid-Pappel,
Prunus serrulata 'Kanzan',Japanische Zierkirsche,Q130256726
Liquidambar styraciflua,Amberbaum,Q469652
Quercus petraea,Trauben-Eiche,Q158608
Juglans regia,Walnuß,Q46871
Taxus baccata,Gemeine Eibe,Q179729
Prunus species,Kirsche,Q190545
Crataegus monogyna,Eingriffliger Weißdorn,Q161511
Larix decidua,Europäische Lärche,Q146048
Prunus serrulata,Japanische Blüten-Kirsche,Q165321
Prunus avium Aggregat,Hauskirsche,Q165137
Populus species,Pappel,Q25356
Tilia x intermedia 'Pallida',Kaiserlinde,Q163760
Metasequoia glyptostroboides,Urwelt-Mammutbaum,Q156800
Populus nigra,Schwarz-Pappel,Q147064
Fraxinus ornus,Blumen-Esche,Q161421
Aesculus x carnea,Rotblühende Roßkastanie,Q163779
Pyrus communis,Holz-Birne,Q149332
Ulmus glabra,Berg-Ulme,Q147498
Quercus robur 'Fastigiata',Pyramiden-Eiche,Q2379170
Tsuga canadensis,Kanadische Hemlocktanne,Q1137143
Parrotia persica,Parrotie,Q1138533
Sorbus aria,Mehlbeere,Q157960
Quercus palustris,Sumpf-Eiche,Q161253
Amelanchier lamarckii,Kupfer-Felsenbirne,Q161702
Acer pseudoplatanus 'Purpurascens',Rotblättrige Sorte des Berg-Ahorn,Q9578905
Populus alba,Weiß-Pappel,Q146269
Pseudotsuga menziesii,Küsten-Douglasie,Q156687
Cercidiphyllum japonicum,Katsurabaum,Q526549
Malus sylvestris Aggregat,Hausapfel,Q18674606
Pterocarya fraxinifolia,Kaukasische Flügelnuß,Q121749
Prunus domestica,Kultur-Pflaume,Q44120
Prunus spinosa,Schlehe,Q129018
Cornus mas,Kornelkirsche,Q158642
Betula papyrifera,Papier-Birke,Q76971
Ginkgo biloba,Ginkgobaum,Q43284
Ulmus species,Ulme,Q131113
Fagus sylvatica 'Purpurea',Blutbuche,Q886511
Tilia tomentosa,Silber-Linde,Q161382
Populus tremula,Espe,Q146110
Prunus serotina,Spätblühende Trauben-Kirsche,Q158987
Malus species,Apfel,Q18674606
Acer platanoides 'Columnaris',Sorte vom Spitz-Ahorn,Q26745
Ostrya carpinifolia,Europäische Hopfenbuche,Q1367533
Betula pubescens,Moor-Birke,Q157624
Pyrus calleriana 'Chanticleer',Chinesische Goldbirne,Q3079266
Castanea sativa,Eßkastanie,Q22699
Ulmus x hollandica,Holländische Ulme,Q504004
Populus x canadensis,Kanadische-Hybrid-Pappel,Q149622
Crataegus laevigata,Zweigriffeliger Weißdorn,Q159553
ulmus x hollandica `Lobel`,Holländische Ulme,Q131113
Quercus cerris,Zerr-Eiche,Q157277
Robinia pseudoacacia 'Umbraculifera',Kugelrobinie,Q130467225
Pyrus communis Aggregat,Hausbirne,Q146281
Prunus x gondouinii 'Schnee',Zierkirsche,Q190545
Sophora japonica,Schnurbaum,Q10881597
Chamaecyparis lawsoniana,Lawsons Scheinzypresse,Q161360
Salix viminalis,Korb-Weide,Q158590
Crataegus x lavallei,Lavalles Weißdorn,Q1693676
Aesculus hippocastanum 'Baumannii',Nichtfruchtende Roßkastanie,Q130494148
Thuja occidentalis,Abendländischer Lebensbaum,Q147468
Ulmus minor,Feld-Ulme,Q147487
Ilex aquifolium,Stechpalme,Q192190
Ailanthus altissima,Götterbaum,Q159570
Salix alba 'Tristis',Trauer-Weide,Q104188716
Acer negundo,Eschen-Ahorn,Q161166
Waldartiger Bestand,Waldartiger Bestand,
Robinia pseudoacacia 'Monophylla',Einblättrige Robinie,Q157417
Acer rubrum,Rot-Ahorn,Q161364
Acer platanoides 'Schwedleri',Rotblättrige Sorte des Spitz-Ahorn,Q9578817
Gleditsia triacanthos 'Inermis',Dornenlose Gleditsie,Q119410364
Crataegus laevigata 'Paul's Scarlet',Rotdorn,Q1281102
Prunus cerasifera 'Nigra',Blutpflaume,Q886711
Populus nigra 'Italica',Pyramiden-Pappel,Q3377825
Picea omorika,Serbische Fichte,Q147824
Liriodendron tulipifera,Tulpenbaum,Q158783
Amelanchier species,Felsenbirne,Q156957
Prunus cerasifera,Kirsch-Pflaume,Q146951
Fagus sylvatica 'Pendula',Trauer-Buche,Q1642256
Crataegus species,Weißdorn,Q132557
Carpinus betulus `Frans Fontaine`,Säulenhainbuche,Q158776
Crataegus crus-galli,Hahnensporn-Weißdorn,Q916961
Magnolia species,Magnolie,Q157017
Malus communis,Johannis Apfel,Q18674606
Ulmus laevis,Flatter-Ulme,Q147492
Prunus domestica Aggregat,"Pflaume,Mirabelle",Q149741
Quercus coccinea,Scharlach-Eiche,Q854714
Salix fragilis,Bruch-Weide,Q157518
Celtis australis,Südlicher Zürgelbaum,Q255375
Acer ginnala,Feuer-Ahorn,Q631388
Gymnocladus dioicus,Geweihbaum,Q549418
Prunus avium 'Plena',Gefülltblühende Vogelkirsche,Q130355207
Salix matsudana 'Tortuosa',Korkenzieher-Weide,Q26822180
Chamaecyparis species,Scheinzypresse,Q147791
Catalpa bignonioides,Gewöhnlicher Trompetenbaum,Q163831
Crataegus species,Weißdorn,Q132557
Abies nordmanniana,Nordmanns-Tanne,Q148920
Prunus serrulata 'Amanogawa',Japanische Säulenkirsche,Q5821037
Gleditsia triacanthos,Gleditsie,Q161250
Picea glauka,kanadische Fichte,Q128116
Pinus strobus,Weymouthskiefer,Q157230
Davidia involukrata,Taschentuchbaum,Q334697
Gleditsia triacanthos 'Sunburst',Gleditschie 'Sunburst',Q110766967
Acer palmatum,Fächer-Ahorn,Q269224
Salix species,Weide,Q36050
Betula nigra,Schwarz-Birke,Q1510231
Magnolia kobus,Kobushi-Magnolie,Q942409
Acer saccharinum 'Wieri',Sorte vom Silber-Ahorn,Q158301
Quercus frainetto,Ungarische Eiche,Q857075
Acer platanoides 'Faassen's Black',Schwarzblättriger-Ahorn,Q110765992
Cryptomeria japonica,Sicheltanne,Q147388
Acer monspessulanum,Französischer Ahorn,Q161388
Acer species,Ahorn,Q42292
Abies alba,Weiß-Tanne,Q146992
Picea orientalis,Orient-Fichte,Q1145286
Thuja plicata,Riesen-Lebensbaum,Q147417
Malus sylvestris,Holz-Apfel,Q47161
Betula pendula 'Tristis',Hängebirke,Q156895
Quercus species,Eiche,Q12004
Alnus cordata,Italienische Erle,Q1543689
Acer campestre 'Elsrijk',Kegel-Feldahorn,Q4673145
Acer saccharum,Zucker-Ahorn,Q214733
Ilex x altaclarensis,Großblättrige Stechpalme,Q117085
Chamaecyparis obtusa,Hinoki-Scheinzypresse,Q917187
Juniperus communis,Gemeiner Wacholder,Q26325
Fagus sylvatica 'Fastigata',Säulen-Buche,Q110765790
Sorbus aria 'Magnifica',Sorte der Mehlbeere,Q157960
Quercus robur 'Fastigiata Aurea',Sorte der Stieleiche,Q165145
Acer griseum,Zimt-Ahorn,Q203985
Larix kaempferi,Japanische Lärche,Q147439
Cercis siliquastrum,Gemeiner Judasbaum,Q29488
Acer pseudoplatanus 'Leopoldii',Sorte vom Berg-Ahorn,Q114854806
Cedrus atlantica,Atlas-Zeder,Q623489
Nacherfassung,Nacherfassung,
Betula pendula 'Dalecarlica',Geschlitztblättrige Birke,Q89091247
Picea pungens,Stech-Fichte,Q146025
Pyrus species,Birne,Q434
Magnolia x soulangiana,Tulpen-Magnolie,Q731443
Crataegus x prunifolia,Pflaumenblättriger Weißdorn,Q15536927
Amelanchier laevis,Kahle Felsenbirne,Q163825
Nyssa sylvatica,Wald-Tupelobaum,Q3179665
Pinus wallichiana,Tränen-Kiefer,Q747652
Fagus sylvatica 'Laciniata',Schlitzblättrige Buche,Q146149
Prunus mahaleb,Weichsel-Kirsche,Q161920
Prunus sargentii,Sargents-Kirsche,Q163039
Sorbus species,Eberesche,Q146198
Cornus species,Hartriegel,Q159545
Catalpa species,Trompetenbaum,Q158072
Malus x moerlandsii,Zierapfel,Q50843985
Populus canescens,Bastard-Schwarz-Pappel,Q149553
Amelanchier laevis 'Ballerina',Essbare Felsenbirne,Q163825
Corylus avellana,Haselnuß,Q124969
Morus alba,Weiße Maulbeere,Q157307
Cydonia oblonga,Quitte,Q43300
Euonymus europaeus,Pfaffenhütchen,Q161379
Acer cappadocicum,Kolchischer-Ahorn,Q766133
Tilia cordata 'Rancho',Kleinkronige Winter-Linde,Q158746
Juniperus chinensis,Chinesischer Wacholder,Q157697
Acer tataricum,Tatarischer Steppen-Ahorn,Q162728
Picea pungens 'Glauca',Blau-Fichte,Q146025
Crataegus monogyna 'Stricta',Weißdorn 'Stricta',Q130237568
Populus x berolinensis,Berliner Lorbeer-Pappel,Q4460779
Catalpa bignonioides 'Nana',Kugel-Trompetenbaum,Q2073370
Tsuga heterophylla,Westliche Hemlocktanne,Q1144409
Quercus imbricaria,Schindel-Eiche,Q528713
Fraxinus angustifolia,Schmalblättrige Esche,Q518949
Betula jacquemontii,Himalaja-Birke,Q38528595
Robinia species,Robinie,Q157417
Magnolia stellata,Stern-Magnolie,Q839507
Ulmus americana,Amerikanische Ulme,Q469382
Tilia species,Linde,Q127849
Fraxinus excelsior 'Diversifolia',Einblatt-Esche,Q110766606
Picea sitchensis,Sitka-Fichte,Q147426
Pinus nigra ssp. nigra,Östereichische Schwarz-Kiefer,Q4730748
Populus alba 'Pyramidalis',Sorte der Weiß-Pappel,Q146269
Paulownia tomentosa,Blauglockenbaum,Q157393
Malus x purpurea 'Profusion',Sorte vom Purpurapfel,Q886464
Malus floribunda,Japanischer Apfel,Q1683370
Liquidambar species,Amberbaum,Q183543
Abies species,Tanne,Q25350
Ulmus x hollandica 'Hybriden',Hybrid-Ulme,Q131113
Celtis occidentalis,Nordamerikanischer Zürgelbaum,Q470006
Acer pseudoplatanus 'Atropurpureum',Sorte vom Berg-Ahorn,Q110765849
Betula platyphylla,Mandschurische Birke,Q1373854
Prunus subhirtella 'Autumnalis',Winterblühende Berg-Kirsche,Q10860787
Quercus pubescens,Flaum-Eiche,Q161415
Betula maximowicziana,Maximowiczs Birke,Q1623892
Pyrus calleriana,Chinesische Birne,Q3079266
Fraxinus ornus `Mecsek`,Kugel Blumenesche,Q161421
Platanus species,Platane,Q163025
