tree_type_botanic,wikidata_id
Carpinus  species,Q158513
Corylus species,Q145889
Fagus species,Q25403
Fraxinus  species,Q128887
Juglans  species,Q2453469
Malus  species,Q104819
Rhamnus  species,Q79190
Robinia  species,Q472943
Sorbus  species,Q157964
Taxus species,Q27355
Celtis australis,Q255375
Gleditsia triacanthos,Q157650
Ilex x altaclarensis,Q21169985
Malus toringo,Q52626848
Nothofagus antarctica,Q571422
Populus x hybrida,Q28715573
Prunus cerasus,Q131517
Prunus x gondouinii 'Schnee',Q3408659
Sorbus hybrida,Q2532563
Staphylea colchica,Q2671147
Thuja orientalis,Q33482
Tilia x intermedia 'Pallida',Q163760
