tree_type_botanic,wikidata_id,citree_name
Abies alba,Q146992,Abies alba
Abies concolor,Q145939,Abies concolor
Abies grandis,Q147434,Abies grandis
Abies koreana,Q390100,Abies koreana
Abies nordmanniana,Q148920,Abies nordmanniana
Abies procera,Q1283223,Abies procera
Abies  species,Q25350,Abies
acer buergerianum,Q941891,Acer buergerianum
Acer campestre,Q158785,Acer campestre
Acer capillipes,Q1089472,Acer capillipes
Acer cappadocicum,Q766133,Acer cappadocicum
Acer cappadocicum 'Rubrum',Q18470510,Acer cappadocicum 'Rubrum'
Acer carpinifolium,Q284462,Acer carpinifolium
Acer davidii,Q657935,Acer davidii
Acer ginnala,Q631388,Acer tataricum subsp. ginnala
Acer griseum,Q203985,Acer griseum
Acer japonicum,Q149269,Acer japonicum
Acer macrophyllum,Q599523,Acer macrophyllum
Acer monspessulanum,Q161388,Acer monspessulanum
Acer negundo,Q161166,Acer negundo
Acer negundo 'Aureovariegatum',Q161166,Acer negundo
Acer palmatum,Q269224,Acer palmatum
Acer platanoides,Q26745,Acer platanoides
Acer platanoides 'Circinatum',Q26745,Acer platanoides
Acer platanoides 'Columnaris',Q26745,Acer platanoides
Acer platanoides 'Dissectum',Q129514890,Acer platanoides 'Dissectum'
Acer platanoides 'Drummondii',Q26745,Acer platanoides
Acer platanoides 'Emerald Queen',Q129511342,Acer platanoides 'Emerald Queen'
Acer platanoides 'Faassen's Black',Q110765992,Acer platanoides ʽFaassen's Black’
Acer platanoides 'Globosum',Q9577526,Acer platanoides 'Globosum'
Acer platanoides 'Laciniatum',Q26745,Acer platanoides
Acer platanoides 'Lorbergii',Q26745,Acer platanoides
Acer platanoides `Royal Red`,Q110765996,Acer platanoides 'Royal Red'
Acer platanoides 'Schwedleri',Q26745,Acer platanoides
Acer pseudoplatanus,Q156944,Acer pseudoplatanus
Acer pseudoplatanus 'Atropurpureum',Q110765849,Acer pseudoplatanus 'Atropurpureum'
Acer pseudoplatanus 'Erectum',Q156944,Acer pseudoplatanus
Acer pseudoplatanus 'Leopoldii',Q114854806,Acer pseudoplatanus 'Leopoldii'
Acer pseudoplatanus 'Purpurascens',Q156944,Acer pseudoplatanus
Acer rubrum,Q161364,Acer rubrum
Acer rubrum 'Armstrong',Q161364,Acer rubrum
Acer rufinerve,Q285744,Acer rufinerve
Acer saccharinum,Q158301,Acer saccharinum
Acer saccharinum 'Wieri',Q158301,Acer saccharinum
Acer saccharum,Q214733,Acer saccharum
Acer  species,Q42292,Acer
Acer tataricum,Q162728,Acer tataricum
Acer x zoeschense,Q4673185,Acer × zoeschense
Aesculus flava,Q159620,Aesculus flava
Aesculus hippocastanum,Q26899,Aesculus hippocastanum
Aesculus hippocastanum 'Baumannii',Q130494148,Aesculus hippocastanum 'Baumannii'
Aesculus x carnea,Q163779,Aesculus × carnea
