wikidata_id;baumart_bo;baumart_de;property_id;attribute_name;value;group
Q165145;Quercus robur;Stiel-Eiche;P105;taxonomischer_rang;Art;
Q165145;Quercus robur;Stiel-Eiche;P10906;foliage_type;laubabwerfend;
Q165145;Quercus robur;Stiel-Eiche;P12616;leaf_morphology;lobate leaf blade;
Q165145;Quercus robur;Stiel-Eiche;P12616;leaf_morphology;lobate leaf edge;
Q165145;Quercus robur;Stiel-Eiche;P12616;leaf_morphology;obovate leaf blade;
Q165145;Quercus robur;Stiel-Eiche;P12616;leaf_morphology;sitzendes Blatt;
Q165145;Quercus robur;Stiel-Eiche;P13478;nomenklatorischer_typ_von;Eichen;
Q165145;Quercus robur;Stiel-Eiche;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q165145;Quercus robur;Stiel-Eiche;P1420;taxonomische_synonyme;Quercus longaeva;
Q165145;Quercus robur;Stiel-Eiche;P1672;ursprung_von;Eichel;
Q165145;Quercus robur;Stiel-Eiche;P1672;ursprung_von;oakwood from Quercus robur;
Q165145;Quercus robur;Stiel-Eiche;P171;uebergeordnetes_taxon;Eichen;
Q165145;Quercus robur;Stiel-Eiche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Paprastasis%20azuolas.JPG;
Q165145;Quercus robur;Stiel-Eiche;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20robur%20range.svg;
Q165145;Quercus robur;Stiel-Eiche;P225;wissenschaftlicher_name;Quercus robur;
Q165145;Quercus robur;Stiel-Eiche;P279;unterklasse_von;Eichen;
Q165145;Quercus robur;Stiel-Eiche;P31;ist_eine;Heilpflanze;
Q165145;Quercus robur;Stiel-Eiche;P31;ist_eine;Taxon;
Q165145;Quercus robur;Stiel-Eiche;P4000;fruchttyp;Nussfrucht;
Q165145;Quercus robur;Stiel-Eiche;P4214;hoechste_beobachtete_lebensdauer;930.0;
Q165145;Quercus robur;Stiel-Eiche;P5252;winteransicht;http://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20robur%20-%20Stanislav%20Murashkin%20-%20606130821.jpeg;
Q165145;Quercus robur;Stiel-Eiche;P8193;winterhaerte_der_pflanze;5;
Q165145;Quercus robur;Stiel-Eiche;P9714;verbreitungsgebiet;Volksrepublik China;
Q158776;Carpinus betulus;Gemeine Hainbuche;P105;taxonomischer_rang;Art;
Q158776;Carpinus betulus;Gemeine Hainbuche;P10906;foliage_type;laubabwerfend;
Q158776;Carpinus betulus;Gemeine Hainbuche;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q158776;Carpinus betulus;Gemeine Hainbuche;P1420;taxonomische_synonyme;Carpinus betulus f. quercifolia;
Q158776;Carpinus betulus;Gemeine Hainbuche;P1420;taxonomische_synonyme;Carpinus betulus var. quercifolia;
Q158776;Carpinus betulus;Gemeine Hainbuche;P1420;taxonomische_synonyme;Carpinus caucasica;
Q158776;Carpinus betulus;Gemeine Hainbuche;P1420;taxonomische_synonyme;Carpinus vulgaris;
Q158776;Carpinus betulus;Gemeine Hainbuche;P1672;ursprung_von;Holz der Gemeinen Hainbuche;
Q158776;Carpinus betulus;Gemeine Hainbuche;P171;uebergeordnetes_taxon;Hainbuchen;
Q158776;Carpinus betulus;Gemeine Hainbuche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Brohmer-Berge-Rothem%C3%BChl-24-10-2009-30.jpg;
Q158776;Carpinus betulus;Gemeine Hainbuche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Carpinus%20betulus%20-%20Hunsr%C3%BCck%20001.jpg;
Q158776;Carpinus betulus;Gemeine Hainbuche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Carpinus%20betulus%20Sturm33.jpg;
Q158776;Carpinus betulus;Gemeine Hainbuche;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Carpinus%20betulus%20range.svg;
Q158776;Carpinus betulus;Gemeine Hainbuche;P225;wissenschaftlicher_name;Carpinus betulus;
Q158776;Carpinus betulus;Gemeine Hainbuche;P31;ist_eine;Taxon;
Q158776;Carpinus betulus;Gemeine Hainbuche;P4000;fruchttyp;Nussfrucht;
Q158785;Acer campestre;Feld-Ahorn;P105;taxonomischer_rang;Art;
Q158785;Acer campestre;Feld-Ahorn;P10906;foliage_type;laubabwerfend;
Q158785;Acer campestre;Feld-Ahorn;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q158785;Acer campestre;Feld-Ahorn;P1672;ursprung_von;field maple;
Q158785;Acer campestre;Feld-Ahorn;P171;uebergeordnetes_taxon;Ahorn;
Q158785;Acer campestre;Feld-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20006.jpg;
Q158785;Acer campestre;Feld-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%2002%20by-dpc.jpg;
Q158785;Acer campestre;Feld-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Dettaglio%20-%20Aceraceae%20Acer%20campestre%20L.%20Erbario%20Frizzi%20Perugia%20n.%203766.jpg;
Q158785;Acer campestre;Feld-Ahorn;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20range.png;
Q158785;Acer campestre;Feld-Ahorn;P225;wissenschaftlicher_name;Acer campestre;
Q158785;Acer campestre;Feld-Ahorn;P2827;bluetenfarbe;Grün;
Q158785;Acer campestre;Feld-Ahorn;P31;ist_eine;Taxon;
Q158785;Acer campestre;Feld-Ahorn;P3739;bluetenstand;Schirmtraube;
Q158785;Acer campestre;Feld-Ahorn;P3739;bluetenstand;erect infloresence;
Q158785;Acer campestre;Feld-Ahorn;P4000;fruchttyp;Flügelnuss;
Q158785;Acer campestre;Feld-Ahorn;P9714;verbreitungsgebiet;Schweiz;
Q158746;Tilia cordata;Winter-Linde;P105;taxonomischer_rang;Art;
Q158746;Tilia cordata;Winter-Linde;P10906;foliage_type;laubabwerfend;
Q158746;Tilia cordata;Winter-Linde;P1282;openstreetmap_attribut;species=Tilia_cordata;
Q158746;Tilia cordata;Winter-Linde;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q158746;Tilia cordata;Winter-Linde;P1672;ursprung_von;Lindenblüte;
Q158746;Tilia cordata;Winter-Linde;P171;uebergeordnetes_taxon;Linde;
Q158746;Tilia cordata;Winter-Linde;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Tilia%20cordata%2C%20Lipa2009.jpg;
Q158746;Tilia cordata;Winter-Linde;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Tilia%20cordata%20range.svg;
Q158746;Tilia cordata;Winter-Linde;P225;wissenschaftlicher_name;Tilia cordata;
Q158746;Tilia cordata;Winter-Linde;P279;unterklasse_von;Nutzpflanze;
Q158746;Tilia cordata;Winter-Linde;P31;ist_eine;Taxon;
Q158746;Tilia cordata;Winter-Linde;P366;verwendung;Gemüse;
Q158746;Tilia cordata;Winter-Linde;P3739;bluetenstand;cyme;
Q158746;Tilia cordata;Winter-Linde;P3739;bluetenstand;erect infloresence;
Q158746;Tilia cordata;Winter-Linde;P3739;bluetenstand;staminodeless florets or flower;
Q158746;Tilia cordata;Winter-Linde;P4000;fruchttyp;Nüsschen;
Q158746;Tilia cordata;Winter-Linde;P462;farbe;Orange;
Q158746;Tilia cordata;Winter-Linde;P5252;winteransicht;http://commons.wikimedia.org/wiki/Special:FilePath/Berlin%20Schillerpark%20lub%202026-02-20%20img01jpg%2005.jpg;
Q158746;Tilia cordata;Winter-Linde;P8193;winterhaerte_der_pflanze;3b;
Q156904;Alnus glutinosa;Schwarz-Erle;P105;taxonomischer_rang;Art;
Q156904;Alnus glutinosa;Schwarz-Erle;P10906;foliage_type;laubabwerfend;
Q156904;Alnus glutinosa;Schwarz-Erle;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q156904;Alnus glutinosa;Schwarz-Erle;P1672;ursprung_von;European alder;
Q156904;Alnus glutinosa;Schwarz-Erle;P171;uebergeordnetes_taxon;Erlen;
Q156904;Alnus glutinosa;Schwarz-Erle;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Alnus%20glutinosa%20%28Schwarzerle%29.jpg;
Q156904;Alnus glutinosa;Schwarz-Erle;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Alnus%20glutinosa%20011.jpg;
Q156904;Alnus glutinosa;Schwarz-Erle;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Alnus%20glutinosa%20range.svg;
Q156904;Alnus glutinosa;Schwarz-Erle;P225;wissenschaftlicher_name;Alnus glutinosa;
Q156904;Alnus glutinosa;Schwarz-Erle;P31;ist_eine;Taxon;
Q156904;Alnus glutinosa;Schwarz-Erle;P4000;fruchttyp;Nussfrucht;
Q156904;Alnus glutinosa;Schwarz-Erle;P5252;winteransicht;http://commons.wikimedia.org/wiki/Special:FilePath/Alnus%20glutinosa%20-%20Stanislav%20Murashkin%20-%20604766610.jpeg;
Q156904;Alnus glutinosa;Schwarz-Erle;P5588;invasiv_in;Neuseeland;
Q156904;Alnus glutinosa;Schwarz-Erle;P566;basionym;Betula alnus var. glutinosa;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P105;taxonomischer_rang;Art;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P10906;foliage_type;laubabwerfend;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P1672;ursprung_von;Ahornholz;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P171;uebergeordnetes_taxon;Ahorn;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/ID%201211%20Bergahorn%200011.jpg;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20pseudoplatanus%20range.svg;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P225;wissenschaftlicher_name;Acer pseudoplatanus;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P279;unterklasse_von;Baum;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P2827;bluetenfarbe;Grün;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P31;ist_eine;Taxon;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P3739;bluetenstand;Rispe;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P3739;bluetenstand;Traube;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P3739;bluetenstand;pendulous infloresence;
Q156944;Acer pseudoplatanus;Berg-Ahorn;P4000;fruchttyp;Flügelnuss;
Q26745;Acer platanoides;Spitz-Ahorn;P105;taxonomischer_rang;Art;
Q26745;Acer platanoides;Spitz-Ahorn;P10906;foliage_type;laubabwerfend;
Q26745;Acer platanoides;Spitz-Ahorn;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q26745;Acer platanoides;Spitz-Ahorn;P1672;ursprung_von;Ahornholz;
Q26745;Acer platanoides;Spitz-Ahorn;P1672;ursprung_von;Norway maple;
Q26745;Acer platanoides;Spitz-Ahorn;P1672;ursprung_von;acerin;
Q26745;Acer platanoides;Spitz-Ahorn;P171;uebergeordnetes_taxon;Ahorn;
Q26745;Acer platanoides;Spitz-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/2020%20year.%20Herbarium.%20Acer%20platanoides.%20img-012.jpg;
Q26745;Acer platanoides;Spitz-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Ahornbluete.jpg;
Q26745;Acer platanoides;Spitz-Ahorn;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Spitz-Ahorn%28mbo%29.jpg;
Q26745;Acer platanoides;Spitz-Ahorn;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20platanoides%20range.svg;
Q26745;Acer platanoides;Spitz-Ahorn;P225;wissenschaftlicher_name;Acer platanoides;
Q26745;Acer platanoides;Spitz-Ahorn;P2827;bluetenfarbe;Gelb;
Q26745;Acer platanoides;Spitz-Ahorn;P31;ist_eine;Taxon;
Q26745;Acer platanoides;Spitz-Ahorn;P3739;bluetenstand;Schirmtraube;
Q26745;Acer platanoides;Spitz-Ahorn;P3739;bluetenstand;erect infloresence;
Q26745;Acer platanoides;Spitz-Ahorn;P4000;fruchttyp;Flügelnuss;
Q26745;Acer platanoides;Spitz-Ahorn;P443;aussprache_audiodatei;http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q150%20%28fra%29-Fabricio%20Cardenas%20%28Culex%29-%C3%A9rable%20plane.wav;
Q26745;Acer platanoides;Spitz-Ahorn;P9714;verbreitungsgebiet;Volksrepublik China;
Q156895;Betula pendula;Sand-Birke;P105;taxonomischer_rang;Art;
Q156895;Betula pendula;Sand-Birke;P10906;foliage_type;laubabwerfend;
Q156895;Betula pendula;Sand-Birke;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q156895;Betula pendula;Sand-Birke;P1672;ursprung_von;Birkenblätter;
Q156895;Betula pendula;Sand-Birke;P1672;ursprung_von;silver birch;
Q156895;Betula pendula;Sand-Birke;P171;uebergeordnetes_taxon;Birken;
Q156895;Betula pendula;Sand-Birke;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20Finland.jpg;
Q156895;Betula pendula;Sand-Birke;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20in%20Sedovo%201.jpg;
Q156895;Betula pendula;Sand-Birke;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Betula%20pendula0.jpg;
Q156895;Betula pendula;Sand-Birke;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20range.svg;
Q156895;Betula pendula;Sand-Birke;P225;wissenschaftlicher_name;Betula pendula;
Q156895;Betula pendula;Sand-Birke;P279;unterklasse_von;Nutzpflanze;
Q156895;Betula pendula;Sand-Birke;P2827;bluetenfarbe;Hexadezimalsystem;
Q156895;Betula pendula;Sand-Birke;P2827;bluetenfarbe;Hänge-Birke;
Q156895;Betula pendula;Sand-Birke;P31;ist_eine;Taxon;
Q156895;Betula pendula;Sand-Birke;P366;verwendung;Heilpflanze;
Q156895;Betula pendula;Sand-Birke;P4000;fruchttyp;Nüsschen;
Q156895;Betula pendula;Sand-Birke;P8193;winterhaerte_der_pflanze;2;
Q156895;Betula pendula;Sand-Birke;P9714;verbreitungsgebiet;Xinjiang;
Q146149;Fagus sylvatica;Rotbuche;P105;taxonomischer_rang;Art;
Q146149;Fagus sylvatica;Rotbuche;P10906;foliage_type;laubabwerfend;
Q146149;Fagus sylvatica;Rotbuche;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q146149;Fagus sylvatica;Rotbuche;P1420;taxonomische_synonyme;Fagus comptoniifolia;
Q146149;Fagus sylvatica;Rotbuche;P1672;ursprung_von;European beechnut;
Q146149;Fagus sylvatica;Rotbuche;P1672;ursprung_von;Rotbuchenholz;
Q146149;Fagus sylvatica;Rotbuche;P171;uebergeordnetes_taxon;Buchen;
Q146149;Fagus sylvatica;Rotbuche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Grib%20skov.jpg;
Q146149;Fagus sylvatica;Rotbuche;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Fagus%20sylvatica%20range.svg;
Q146149;Fagus sylvatica;Rotbuche;P225;wissenschaftlicher_name;Fagus sylvatica;
Q146149;Fagus sylvatica;Rotbuche;P279;unterklasse_von;Nutzpflanze;
Q146149;Fagus sylvatica;Rotbuche;P31;ist_eine;Taxon;
Q146149;Fagus sylvatica;Rotbuche;P366;verwendung;Gemüse;
Q146149;Fagus sylvatica;Rotbuche;P366;verwendung;Nuss;
Q146149;Fagus sylvatica;Rotbuche;P4000;fruchttyp;Nussfrucht;
Q146149;Fagus sylvatica;Rotbuche;P4214;hoechste_beobachtete_lebensdauer;503.0;
Q146149;Fagus sylvatica;Rotbuche;P527;besteht_aus;Blutbuche;
Q146149;Fagus sylvatica;Rotbuche;P527;besteht_aus;Fagus sylvatica f. dawycki;
Q146149;Fagus sylvatica;Rotbuche;P527;besteht_aus;Hänge-Buche;
Q146149;Fagus sylvatica;Rotbuche;P8193;winterhaerte_der_pflanze;4;
Q156907;Fraxinus excelsior;Gemeine Esche;P105;taxonomischer_rang;Art;
Q156907;Fraxinus excelsior;Gemeine Esche;P10906;foliage_type;laubabwerfend;
Q156907;Fraxinus excelsior;Gemeine Esche;P13478;nomenklatorischer_typ_von;Eschen;
Q156907;Fraxinus excelsior;Gemeine Esche;P141;gefaehrdungsstufe_iucn;potenziell gefährdet;
Q156907;Fraxinus excelsior;Gemeine Esche;P1672;ursprung_von;Eschenholz;
Q156907;Fraxinus excelsior;Gemeine Esche;P1672;ursprung_von;Eschensamenöl;
Q156907;Fraxinus excelsior;Gemeine Esche;P1672;ursprung_von;Fraxinus excelsior seed;
Q156907;Fraxinus excelsior;Gemeine Esche;P1672;ursprung_von;gemeine Esche;
Q156907;Fraxinus excelsior;Gemeine Esche;P171;uebergeordnetes_taxon;Eschen;
Q156907;Fraxinus excelsior;Gemeine Esche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior%20001.jpg;
Q156907;Fraxinus excelsior;Gemeine Esche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg;
Q156907;Fraxinus excelsior;Gemeine Esche;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Fraxinus%20excelsior1.jpg;
Q156907;Fraxinus excelsior;Gemeine Esche;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior%20range.svg;
Q156907;Fraxinus excelsior;Gemeine Esche;P225;wissenschaftlicher_name;Fraxinus excelsior;
Q156907;Fraxinus excelsior;Gemeine Esche;P279;unterklasse_von;Baum;
Q156907;Fraxinus excelsior;Gemeine Esche;P279;unterklasse_von;laubabwerfend;
Q156907;Fraxinus excelsior;Gemeine Esche;P31;ist_eine;Taxon;
Q156907;Fraxinus excelsior;Gemeine Esche;P4000;fruchttyp;Flügelnuss;
Q156907;Fraxinus excelsior;Gemeine Esche;P5252;winteransicht;http://commons.wikimedia.org/wiki/Special:FilePath/AskarVinter.jpg;
Q156907;Fraxinus excelsior;Gemeine Esche;P527;besteht_aus;Eschenrinde;
Q133128;Pinus sylvestris;Gemeine Kiefer;P105;taxonomischer_rang;Art;
Q133128;Pinus sylvestris;Gemeine Kiefer;P10906;foliage_type;Immergrüne Pflanze;
Q133128;Pinus sylvestris;Gemeine Kiefer;P13162;referenzabbildung;http://commons.wikimedia.org/wiki/Special:FilePath/A%20description%20of%20the%20genus%20Pinus%20%28Tab.%20I%29%20%287797044884%29.jpg;
Q133128;Pinus sylvestris;Gemeine Kiefer;P13162;referenzabbildung;http://commons.wikimedia.org/wiki/Special:FilePath/Herbarium%20Blackwellianum%20emendatum%20et%20auctum%2C%20id%20est%2C%20Elisabethae%20Blackwell%20collectio%20stirpium%20%28Plate%20190%29%20BHL291523.jpg;
Q133128;Pinus sylvestris;Gemeine Kiefer;P13478;nomenklatorischer_typ_von;Kiefern;
Q133128;Pinus sylvestris;Gemeine Kiefer;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q133128;Pinus sylvestris;Gemeine Kiefer;P1672;ursprung_von;Scots pine;
Q133128;Pinus sylvestris;Gemeine Kiefer;P1672;ursprung_von;Waldwolle;
Q133128;Pinus sylvestris;Gemeine Kiefer;P1672;ursprung_von;pine needle oil;
Q133128;Pinus sylvestris;Gemeine Kiefer;P171;uebergeordnetes_taxon;Pinus sect. Pinus;
Q133128;Pinus sylvestris;Gemeine Kiefer;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20sylvestris%20Glenmuick.jpg;
Q133128;Pinus sylvestris;Gemeine Kiefer;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20sylvestris%20range.svg;
Q133128;Pinus sylvestris;Gemeine Kiefer;P225;wissenschaftlicher_name;Pinus sylvestris;
Q133128;Pinus sylvestris;Gemeine Kiefer;P279;unterklasse_von;Baum;
